Date;Volume
01/01/2011;3459
01/02/2011;3458
01/03/2011;4002
01/04/2011;4564
01/05/2011;4221
01/06/2011;4529
01/07/2011;4466
01/08/2011;4137
01/09/2011;4126
01/10/2011;4259
01/11/2011;4240
01/12/2011;4936
01/01/2012;3031
01/02/2012;3261
01/03/2012;4160
01/04/2012;4377
01/05/2012;4307
01/06/2012;4696
01/07/2012;4458
01/08/2012;4457
01/09/2012;4364
01/10/2012;4236
01/11/2012;4500
01/12/2012;4974
01/01/2013;3075
01/02/2013;3377
01/03/2013;4443
01/04/2013;4261
01/05/2013;4460
01/06/2013;4985
01/07/2013;4324
01/08/2013;4719
01/09/2013;4374
01/10/2013;4248
01/11/2013;4784
01/12/2013;4971
01/01/2014;3370
01/02/2014;3484
01/03/2014;4269
01/04/2014;3994
01/05/2014;4715
01/06/2014;4974
01/07/2014;4223
01/08/2014;5000
01/09/2014;4235
01/10/2014;4554
01/11/2014;4851
01/12/2014;4826
01/01/2015;3699
01/02/2015;3983
01/03/2015;4262
01/04/2015;4619
01/05/2015;5219
01/06/2015;4836
01/07/2015;4941
01/08/2015;5062
01/09/2015;4365
01/10/2015;5012
01/11/2015;4850
01/12/2015;5097
01/01/2016;3758
01/02/2016;3825
01/03/2016;4454
01/04/2016;4635
01/05/2016;5210
01/06/2016;5057
01/07/2016;5231
01/08/2016;5034
01/09/2016;4970
01/10/2016;5342
01/11/2016;4831
01/12/2016;5965
01/01/2017;3796
01/02/2017;4019
01/03/2017;4898
01/04/2017;5090
01/05/2017;5237
01/06/2017;5447
01/07/2017;5435
01/08/2017;5107
01/09/2017;5515
01/10/2017;5583
01/11/2017;5346
01/12/2017;6286
01/01/2018;4032
01/02/2018;4435
01/03/2018;5479
01/04/2018;5483
01/05/2018;5587
01/06/2018;6176
01/07/2018;5621
01/08/2018;5889
01/09/2018;5828
01/10/2018;5849
01/11/2018;6180
01/12/2018;6771
01/01/2019;4243
01/02/2019;4952
01/03/2019;6008
01/04/2019;5353
01/05/2019;6435
01/06/2019;6673
01/07/2019;5636
01/08/2019;6630
01/09/2019;5887
01/10/2019;6322
01/11/2019;6520
01/12/2019;6678
01/01/2020;5082
01/02/2020;5216
01/03/2020;5893
01/04/2020;5894
01/05/2020;6799
01/06/2020;6667
01/07/2020;6374
01/08/2020;6840
01/09/2020;5575
01/10/2020;6545
01/11/2020;6789
01/12/2020;7180
01/01/2021;5117
01/02/2021;5442
01/03/2021;6337
01/04/2021;6525
01/05/2021;7216
01/06/2021;6761
01/07/2021;6958
01/08/2021;7070
01/09/2021;6148
01/10/2021;6924
01/11/2021;6716
01/12/2021;7975
01/01/2022;5326
01/02/2022;5609
01/03/2022;6414
01/04/2022;6741
01/05/2022;7144
01/06/2022;7133
01/07/2022;7568
01/08/2022;7266
01/09/2022;6634
01/10/2022;7626
01/11/2022;6843
01/12/2022;8540
01/01/2023;5629
01/02/2023;5898
01/03/2023;7045
01/04/2023;7094
01/05/2023;7333
01/06/2023;7918
01/07/2023;7289
01/08/2023;7396
01/09/2023;7259
01/10/2023;7268
01/11/2023;7731
01/12/2023;9058
